Company,Sector,Peer Rank,Composite Score
BHARTIARTL,Communication Services,1,50.0
NAUKRI,Communication Services,2,35.0
INDIGO,Consumer Discretionary,1,88.85
IRCTC,Consumer Discretionary,2,71.99
TRENT,Consumer Discretionary,3,60.92
NESTLEIND,Consumer Staples,1,70.18
HINDUNILVR,Consumer Staples,2,58.32
ITC,Consumer Staples,3,50.86
ADANIPOWER,Energy,1,75.01
BPCL,Energy,2,63.83
ATGL,Energy,3,61.06
BAJAJHLDNG,Financials,1,65.47
ICICIGI,Financials,2,61.71
LICI,Financials,3,55.53
CIPLA,Healthcare,1,59.65
DRREDDY,Healthcare,2,51.79
TORNTPHARM,Healthcare,3,51.0
HAL,Industrials,1,77.24
BEL,Industrials,2,69.43
ADANIPORTS,Industrials,3,54.25
TCS,Information Technology,1,59.4
HCLTECH,Information Technology,2,57.99
LTIM,Information Technology,3,54.45
ASIANPAINT,Materials,1,73.93
PIDILITIND,Materials,2,70.95
COALINDIA,Materials,3,64.71
LODHA,Real Estate,1,45.0
DLF,Real Estate,2,40.0
