company_id,company_name,CFO,CFF,Net Profit,Distress Reason
AXISBANK,Axis Bank Ltd,-5555.0,22341.0,24861.0,Negative Operating Cash Flow (-5555 Cr) and Positive Financing Cash Flow (22341 Cr). Business is consuming operational cash while raising funds.
BAJAJFINSV,Bajaj Finserv Ltd,-68674.0,82709.0,15595.0,Negative Operating Cash Flow (-68674 Cr) and Positive Financing Cash Flow (82709 Cr). Business is consuming operational cash while raising funds.
BAJFINANCE,Bajaj Finance Ltd,-72760.0,82415.0,14451.0,Negative Operating Cash Flow (-72760 Cr) and Positive Financing Cash Flow (82415 Cr). Business is consuming operational cash while raising funds.
BANKBARODA,Bank of Baroda,-6274.0,5476.0,18869.0,Negative Operating Cash Flow (-6274 Cr) and Positive Financing Cash Flow (5476 Cr). Business is consuming operational cash while raising funds.
BHEL,"Bharat Heavy Electricals Limited
",-3713.0,2656.0,282.0,Negative Operating Cash Flow (-3713 Cr) and Positive Financing Cash Flow (2656 Cr). Business is consuming operational cash while raising funds.
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,-35683.0,38471.0,3420.0,Negative Operating Cash Flow (-35683 Cr) and Positive Financing Cash Flow (38471 Cr). Business is consuming operational cash while raising funds.
GRASIM,Grasim Industries Ltd,-10719.0,33908.0,9926.0,Negative Operating Cash Flow (-10719 Cr) and Positive Financing Cash Flow (33908 Cr). Business is consuming operational cash while raising funds.
M&M,"Mahindra & Mahindra Ltd
",-5630.0,12281.0,12270.0,Negative Operating Cash Flow (-5630 Cr) and Positive Financing Cash Flow (12281 Cr). Business is consuming operational cash while raising funds.
PFC,Power Finance Corporation Ltd,-97820.0,101261.0,26461.0,Negative Operating Cash Flow (-97820 Cr) and Positive Financing Cash Flow (101261 Cr). Business is consuming operational cash while raising funds.
PNB,Punjab National Bank,-27939.0,3518.0,9157.0,Negative Operating Cash Flow (-27939 Cr) and Positive Financing Cash Flow (3518 Cr). Business is consuming operational cash while raising funds.
RECLTD,REC Ltd,-57723.0,59588.0,14145.0,Negative Operating Cash Flow (-57723 Cr) and Positive Financing Cash Flow (59588 Cr). Business is consuming operational cash while raising funds.
SHRIRAMFIN,"Shriram Finance Ltd
",-31101.0,27609.0,7399.0,Negative Operating Cash Flow (-31101 Cr) and Positive Financing Cash Flow (27609 Cr). Business is consuming operational cash while raising funds.
TVSMOTOR,TVS Motor Company Ltd,-1253.0,2759.0,1779.0,Negative Operating Cash Flow (-1253 Cr) and Positive Financing Cash Flow (2759 Cr). Business is consuming operational cash while raising funds.
